title,theater,location
1/2的魔法,國賓大戲院,台北市成都路88號
1/2的魔法,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓
1/2的魔法,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號
1/2的魔法,國賓影城@台北微風廣場,台北市復興南路一段39號7樓
1/2的魔法,國賓影城@台北長春廣場,台北市中山區長春路176號
1/2的魔法,國賓影城@台南國賓廣場,台南市中華東路一段66號
1/2的魔法,國賓影城@屏東環球購物中心,屏東市仁愛路90號6樓
1/2的魔法,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓
1/2的魔法,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F
1/2的魔法,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號
1/2的魔法,國賓影城@金門昇恆昌金湖廣場,金門縣金湖鎮太湖路二段198號6樓
1/2的魔法,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓
1/2的魔法,國賓影城@高雄義大世界,高雄市大樹區學城路一段12號3樓
72小時前哨救援,國賓大戲院,台北市成都路88號
72小時前哨救援,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓
72小時前哨救援,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號
72小時前哨救援,國賓影城@台北微風廣場,台北市復興南路一段39號7樓
72小時前哨救援,國賓影城@台北長春廣場,台北市中山區長春路176號
72小時前哨救援,國賓影城@台南國賓廣場,台南市中華東路一段66號
72小時前哨救援,國賓影城@屏東環球購物中心,屏東市仁愛路90號6樓
72小時前哨救援,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓
72小時前哨救援,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F
72小時前哨救援,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號
72小時前哨救援,國賓影城@金門昇恆昌金湖廣場,金門縣金湖鎮太湖路二段198號6樓
72小時前哨救援,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓
72小時前哨救援,國賓影城@高雄義大世界,高雄市大樹區學城路一段12號3樓
北非諜影,國賓大戲院,台北市成都路88號
北非諜影,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓
北非諜影,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號
北非諜影,國賓影城@台北微風廣場,台北市復興南路一段39號7樓
北非諜影,國賓影城@台北長春廣場,台北市中山區長春路176號
北非諜影,國賓影城@台南國賓廣場,台南市中華東路一段66號
北非諜影,國賓影城@屏東環球購物中心,屏東市仁愛路90號6樓
北非諜影,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓
北非諜影,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F
北非諜影,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號
北非諜影,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓
北非諜影,國賓影城@高雄義大世界,高雄市大樹區學城路一段12號3樓
大娛樂家..,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓
大娛樂家..,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號
大娛樂家..,國賓影城@台北微風廣場,台北市復興南路一段39號7樓
大娛樂家..,國賓影城@台北長春廣場,台北市中山區長春路176號
大娛樂家..,國賓影城@台南國賓廣場,台南市中華東路一段66號
大娛樂家..,國賓影城@屏東環球購物中心,屏東市仁愛路90號6樓
大娛樂家..,國賓影城@新莊晶冠廣場,新北市新莊區五工路66號3樓
大娛樂家..,國賓影城@林口昕境廣場,新北市林口區文化三路一段402巷2號4F
大娛樂家..,國賓影城@淡水禮萊廣場,新北市淡水區中正路一段2號
大娛樂家..,國賓影城@高雄大魯閣草衙道,高雄市前鎮區中山四路100號3樓
大娛樂家..,國賓影城@高雄義大世界,高雄市大樹區學城路一段12號3樓
天后小助理,國賓大戲院,台北市成都路88號
天后小助理,國賓影城@中和環球購物中心,新北市中和區中山路三段122號4樓
天后小助理,國賓影城@八德廣豐新天地,桃園市八德區介壽路一段728號
