1/2的魔法,卡通動畫
72小時前哨救援,戰爭
PJ 哈維：戰地拾音錄,紀錄片
TENET天能,劇情
你的鳥兒會唱歌,劇情
北非諜影,劇情
吞噬,驚悚
壞教育,劇情
夜半歌聲（數位修復版）,劇情
大娛樂家,劇情
天后小助理,劇情
奪魂索,恐怖
婚姻大崩壞,喜劇
少年PI的奇幻漂流,劇情
巴黎寂寞不打烊,文藝愛情
弒婚遊戲,劇情
影裏,劇情
彼得漢德克：我在森林，晚一點到,紀錄片
惡棍英雄：死侍,動作
慾望街車,劇情
慾火烈愛,劇情
戀戀琴聲,劇情
打噴嚏,劇情
抽屍剝繭,驚悚
捕魔網,恐怖
推拿,劇情
搭火車旅行好吃驚,劇情
明信片謀殺案,驚悚
普立茲記者,劇情
最瘋狂的旅程,劇情
末代皇帝（數位修復版）,劇情
死因無可疑,驚悚
永不放棄：詹姆斯艾利森,紀錄片
沉默的羔羊,劇情
波希米亞狂想曲,劇情
海綿寶寶：奔跑吧,卡通動畫
海邊走走,劇情
深海擴散,驚悚
烈火情人,文藝愛情
犬犬風塵,紀錄片
玩命Online：雙槍對決,喜劇
當愛再來的時候,劇情
白髮魔女傳,劇情
破處,劇情
神力女超人1984,冒險
福島50英雄,劇情
絕地救援,劇情
綠光 經典數位修復,劇情
罪人的控訴,劇情
羅根,動作
美好拾光公司,劇情
花木蘭,動作
萬花嬉春,劇情
藍色恐懼：數位修復版,卡通動畫
蚵豐村,劇情
蝙蝠俠：開戰時刻,動作
被遺忘的人生,劇情
見鬼的戀愛季節,喜劇
親愛的小孩,劇情
親愛陌生人,劇情
謝謝你愛過我,文藝愛情
變種人,科幻
超能西蒙的奇幻旅程,劇情
金魚俱樂部,劇情
銀翼殺手最終版,科幻
靠北少女,喜劇
鬼侍女,劇情
黑暗騎士,動作
黑暗騎士：黎明昇起,動作
